Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_ZenSleep_RefreshConfigText,"Sleeping - Refresh Config","Sleeping - Refresh Config","Spánek - Refresh Config","Schlafen - Konfiguration aktualisieren","Sleep - обновление конфигурации","Sleeping - odśwież konfigurację","Alvás - Frissítse a konfigurációt","Sleeping - Aggiorna config","Dormir - Actualizar la configuración","Sleeping - Refresh Config","睡覺 - 刷新配置","スリーピング - 更新構成","Sleeping - Refresh Config","睡觉 - 刷新配置"
STR_CfgVehicles_ZenSleepingBag0,"Sleeping Bag","Sleeping Bag","Spací pytel","Schlafsack","Спальный мешок","Śpiwór","Hálózsák","Sacco a pelo","Saco de dormir","Sac de couchage","睡袋","寝袋","Saco de dormir","睡袋"
STR_CfgVehicles_ZenSleepingBag1,"A warm sleeping bag. I could comfortably sleep in this anywhere, any time!","A warm sleeping bag. I could comfortably sleep in this anywhere, any time!","Teplý spací pytelMohl bych v tom pohodlně spát kdekoli, kdykoli, kdykoli!","Ein warmer SchlafsackIch konnte jederzeit bequem in diesem Zeitpunkt schlafen!","Теплый спальный мешокЯ мог бы комфортно спать в этом где угодно, в любое время!","Ciepły śpiwórMogłem wygodnie spać w tym miejscu, w dowolnym miejscu!","Meleg hálózsákBármikor, bárhol, kényelmesen aludhattam ebben!","Un sacco a pelo caldoPotrei dormire comodamente in questo ovunque, in qualsiasi momento!","Un saco de dormir cálidoPodría dormir cómodamente en esto en cualquier lugar, en cualquier momento!","Un sac de couchage chaudJe pourrais dormir confortablement là-dedans n'importe où, à tout moment!","溫暖的睡袋我可以隨時隨地都能舒適地睡覺!","温かい寝袋いつでもどこでもこれで快適に眠ることができました!","Um saco de dormir quenteEu poderia dormir confortavelmente nisso em qualquer lugar, a qualquer momento!","温暖的睡袋我可以随时随地都能舒适地睡觉!"
STR_CfgVehicles_ZenSleep_Amphetamine0,"Amphetamine","Amphetamine","Amfetamin","Amphetamin","Амфетамин","Amfetamina","Amfetamin","Anfetamina","Anfetamina","Amphétamine","苯丙胺","アンフェタミン","Anfetamina","苯丙胺"
STR_CfgVehicles_ZenSleep_Amphetamine1,"I'm no doctor, but I think injecting this might wake me up a little bit.","I'm no doctor, but I think injecting this might wake me up a little bit.","Nejsem žádný lékař, ale myslím, že injekci by to mohlo trochu probudit","Ich bin kein Arzt, aber ich denke, dass ich ein bisschen aufwecken könnte","Я не доктор, но я думаю, что инъекция это может немного разбудить меня","Nie jestem lekarzem, ale myślę, że to wstrzyknięcie może mnie trochę obudzić","Nem vagyok orvos, de azt hiszem, hogy az injektálás ez egy kicsit felébreszthet","Non sono un dottore, ma penso che iniettare questo potrebbe svegliarmi un po '","No soy médico, pero creo que inyectar esto podría despertarme un poco","Je ne suis pas médecin, mais je pense que l'injection de cela pourrait me réveiller un peu","我不是醫生，但我認為註射這可能會喚醒我一點","私は医者ではありませんが、これを注入することは私を少し目覚めさせるかもしれないと思います","Não sou médico, mas acho que injetar isso pode me acordar um pouco","我不是医生，但我认为注射这可能会唤醒我一点"
STR_CfgVehicles_ZenSleep_Anesthetic0,"Anesthetic","Anesthetic","Anestetikum","Narkose","Анестетик","Znieczulający","Érzéstelenítő","Anestetico","Anestésico","Anesthésique","麻藥","麻酔","Anestésico","麻药"
STR_CfgVehicles_ZenSleep_Anesthetic1,"I'm no doctor, but I think injecting this might make me very sleepy.","I'm no doctor, but I think injecting this might make me very sleepy.","Nejsem žádný lékař, ale myslím, že injekci by mě mohlo udělat velmi ospalým","Ich bin kein Arzt, aber ich denke, dass das Einspritzen von mir sehr schläfrig machen könnte","Я не доктор, но я думаю, что инъекция это может сделать меня очень сонным","Nie jestem lekarzem, ale myślę, że wstrzyknięcie może sprawić, że jestem bardzo senny","Nem vagyok orvos, de azt hiszem, hogy az injektálás ezt nagyon álmossá teszheti","Non sono un dottore, ma penso che iniettare questo potrebbe rendermi molto assonnato","No soy médico, pero creo que inyectar esto podría darme mucho sueño","Je ne suis pas médecin, mais je pense que l'injection de cela pourrait me rendre très endormi","我不是醫生，但我認為這可能會讓我很困","私は医者ではありませんが、これを注入することは私を非常に眠くするかもしれないと思います","Não sou médico, mas acho que injetar isso pode me deixar com muito sono","我不是医生，但我认为这可能会让我很困"
STR_ZenSleepMsg_TooBuzzed,"I feel too buzzed","I feel too buzzed","Cítím se příliš bzučen","Ich fühle mich zu summend","Я чувствую себя слишком гудящим","Czuję się zbyt brzęczona","Túl zümmögtem","Mi sento troppo ronzato","Me siento demasiado zumbado","Je me sens trop bourdonné","我覺得太嗡嗡","あまりにも賑やかです","Eu me sinto muito zumbido","我觉得太嗡嗡"
STR_ZenSleepMsg_CantSleep,"I can't sleep any longer","I can't sleep any longer","Už nemůžu spát","Ich kann nicht länger schlafen","Я больше не могу спать","Nie mogę dłużej spać","Nem tudok tovább aludni","Non riesco più a dormire","No puedo dormir más","Je ne peux plus dormir","我再也睡不著","もう眠れない","Eu não consigo mais dormir","我再也睡不着"
STR_ZenSleepMsg_TooAwake,"I feel too awake","I feel too awake","Cítím se příliš vzhůru","Ich fühle mich zu wach","Я слишком бодрствую","Czuję się zbyt obudzony","Túl ébren érzem magam","Mi sento troppo sveglio","Me siento demasiado despierto","Je me sens trop éveillé","我覺得太清醒了","私はあまりにも目覚めていると感じています","Eu me sinto muito acordado","我觉得太清醒了"
STR_ZenSleepMsg_TooSunny,"I can see too much sunlight","I can see too much sunlight","Vidím příliš mnoho slunečního světla","Ich kann zu viel Sonnenlicht sehen","Я вижу слишком много солнечного света","Widzę za dużo światła słonecznego","Túl sok napfényt látok","Vedo troppa luce solare","Puedo ver demasiada luz solar","Je peux voir trop de soleil","我可以看到太多的陽光","日光が多すぎるのが見えます","Eu posso ver muita luz solar","我可以看到太多的阳光"
STR_ZenSleepMsg_TooSick,"I feel too sick","I feel too sick","Cítím se příliš nemocný","Ich fühle mich zu krank","Я чувствую себя слишком больным","Czuję się zbyt chory","Túl betegnek érzem magam","Mi sento troppo malato","Me siento demasiado enfermo","Je me sens trop malade","我感到太噁心了","気分が悪すぎる","Eu me sinto muito doente","我感到太恶心了"
STR_ZenSleepMsg_TooWet,"I feel too wet","I feel too wet","Cítím se příliš mokrý","Ich fühle mich zu nass","Я чувствую себя слишком влажной","Czuję się zbyt mokry","Túl nedvesen érzem magam","Mi sento troppo bagnato","Me siento demasiado mojado","Je me sens trop mouillé","我感覺太濕了","濡れすぎます","Eu me sinto muito molhado","我感觉太湿了"
STR_ZenSleepMsg_TooCold,"I feel too cold","I feel too cold","Cítím se příliš chladný","Ich fühle mich zu kalt","Мне слишком холодно","Czuję się za zimno","Túl hidegnek érzem magam","Mi sento troppo freddo","Me siento demasiado frío","Je me sens trop froid","我感覺太冷了","寒すぎる","Eu me sinto muito frio","我感觉太冷了"
